DIST,LITTO,MANG,RAIN,UNKN,WETL,Cal_yrs_BP,Site
20.98765432,1.646090535,40.74074074,30.86419753,5.349794239,0.411522634,6390,Ngofe Marsh
13.34250344,1.650618982,0.687757909,2.338376891,32.18707015,49.79367263,3054,Ngofe Marsh
17.83783784,50.81081081,0.540540541,0.540540541,29.72972973,0.540540541,610,Ngofe Marsh
12.5748503,1.19760479,38.32335329,11.9760479,35.92814371,0,7078,Ngofe Marsh
6.542542803,8.716880411,22.52457522,0,52.98483172,9.231169846,1023,Finemui Swamp
12.19512195,2.43902439,30.08130081,44.71544715,10.56910569,0,5267,Ngofe Marsh
1.910933865,6.231306082,46.85942173,1.357039991,40.07976072,3.561537609,1536,Finemui Swamp
61.68224299,2.803738318,0,0.934579439,25.23364486,9.345794393,2620,Ngofe Marsh
22.80140787,19.01593924,5.919828607,1.441699756,35.85644214,14.96468238,207,Finemui Swamp
54.11764706,3.529411765,3.529411765,15.29411765,21.17647059,2.352941176,3939,Ngofe Marsh
10.01251564,9.109212603,43.36942918,8.815367035,28.69347554,0,4858,Finemui Swamp
8.24742268,10.30927835,23.71134021,46.39175258,11.34020619,0,5000,Ngofe Marsh
34.28606157,16.73062564,5.417701297,3.594436438,27.24304989,12.72812516,534,Finemui Swamp
19.51219512,41.46341463,2.43902439,2.43902439,31.70731707,2.43902439,1537,Ngofe Marsh
41.02564103,17.94871795,0,2.564102564,38.46153846,0,700,Ngofe Marsh
0,14.76126928,9.934756821,0,61.73635824,13.56761566,5363,Lotofoa Swamp
29.78723404,9.574468085,0,0,60.63829787,0,474,Ngofe Marsh
4.308326831,6.108572066,56.49871809,0,33.08438301,0,4227,Finemui Swamp
0,9.393539881,65.3702483,0,15.10656998,10.12964184,2605,Lotofoa Swamp
9.523809524,33.33333333,4.761904762,0,52.38095238,0,1034,Ngofe Marsh
3.451002948,16.94586239,10.78438421,0,54.00819613,14.81055432,4748,Lotofoa Swamp
66.66666667,16.66666667,0,0,16.66666667,0,1982,Ngofe Marsh
0,29.34537246,14.3224099,9.885576399,39.07527049,7.371370748,5984,Lotofoa Swamp
11.92411924,3.25203252,51.49051491,17.34417344,15.98915989,0,6724,Ngofe Marsh
11.39240506,0.949367089,50,14.24050633,22.78481013,0.632911392,7173,Ngofe Marsh
17.72575251,6.35451505,33.11036789,19.73244147,21.40468227,1.672240803,4652,Ngofe Marsh
11.36986301,5.753424658,35.34246575,31.50684932,15.75342466,0.273972603,5428,Ngofe Marsh
25.08143322,3.908794788,0.325732899,15.30944625,48.53420195,6.840390879,4473,Ngofe Marsh
8.267716535,1.181102362,13.77952756,11.41732283,61.41732283,3.937007874,7340,Ngofe Marsh
16.80327869,4.098360656,40.16393443,15.16393443,20.90163934,2.868852459,7435,Ngofe Marsh
3.686221623,34.49651607,43.43672735,0,16.79590919,1.584625759,1190,Finemui Swamp
27.17842324,1.867219917,17.42738589,37.96680498,14.93775934,0.622406639,5132,Ngofe Marsh
20.83333333,7.291666667,28.125,34.375,9.375,0,6026,Ngofe Marsh
37.73195876,2.886597938,7.628865979,22.26804124,29.48453608,0,4850,Ngofe Marsh
54.94505495,23.07692308,4.395604396,2.197802198,13.18681319,2.197802198,1233,Ngofe Marsh
27.73109244,4.201680672,38.65546218,21.00840336,8.403361345,0,6285,Ngofe Marsh
12.33766234,5.844155844,44.15584416,26.62337662,11.03896104,0,6098,Ngofe Marsh
10.68181818,32.04545455,17.04545455,3.409090909,25.45454545,11.36363636,2249,Avaiovuna Swamp
0,21.22721492,64.88978381,0,13.88300127,0,1689,Lotofoa Swamp
10.49723757,13.25966851,25.96685083,41.98895028,8.287292818,0,5941,Ngofe Marsh
35.16174402,18.98734177,0.984528833,1.265822785,34.88045007,8.720112518,2213,Ngofe Marsh
9.557522124,18.9380531,13.62831858,6.017699115,12.74336283,39.11504425,1481,Avaiovuna Swamp
17.39130435,30.65217391,15,0.217391304,15,21.73913043,333,Avaiovuna Swamp
8.975834292,19.10241657,1.611047181,0.80552359,12.77330265,56.73187572,-47,Avaiovuna Swamp
8.778625954,25.57251908,16.98473282,0,27.48091603,21.18320611,1102,Avaiovuna Swamp
15.33613445,28.78151261,14.28571429,1.470588235,23.52941176,16.59663866,2633,Avaiovuna Swamp
4.545454545,30.06993007,13.63636364,0.524475524,23.6013986,27.62237762,718,Avaiovuna Swamp
19.32897527,17.63510207,5.238459705,0,33.33667926,24.4607837,696,Finemui Swamp
8.849557522,39.82300885,13.27433628,0,35.39823009,2.654867257,4381,Avaiovuna Swamp
14.05529954,32.02764977,25.34562212,2.534562212,18.43317972,7.603686636,1860,Avaiovuna Swamp
6.796116505,43.68932039,3.883495146,1.941747573,37.86407767,5.825242718,4820,Avaiovuna Swamp
8.8,24.8,6.4,5.6,28.8,25.6,3949,Avaiovuna Swamp
0,5.122803382,45.87499209,0,46.11846915,2.883735387,1363,Finemui Swamp
4.585408731,18.10723703,8.423674187,0,33.98769411,34.89598594,768,Lotofoa Swamp
9.375,26.5625,1.5625,0,35.9375,26.5625,3074,Avaiovuna Swamp
0,8.498583569,55.80202042,3.778929927,31.92046609,0,2931,Finemui Swamp
8.243839401,8.453277483,41.61133639,0,39.43674524,2.254801479,1712,Finemui Swamp
0.62278481,8.025316456,41.04810127,2.850632911,46.25822785,1.194936709,2056,Finemui Swamp
7.399405887,25.1957872,29.86767486,8.31758034,21.49608426,7.723467459,5167,Finemui Swamp
