Cal_yrs_BP,Depth_cm,Site,Calophyllum,Acrostichum,Blyxa comp.,Caryophyllaceae,Casuarina,Chenopodiaceae,Cocos nucifera,Compositae (Liguliflorae),Compositae (Tubuliflorae),Cyathula comp.,Cyperaceae,Diospyros,Elaeocarpus comp.,Euphorbia sim.,Excoecaria sim.,Filices- Monolete Asplenium,Filices- Monolete Lepisorus  sim.,Filices- Monolete Psilete Folded,Filices- Monolete Psilete Large,Filices- Monolete Psilete Small,Filices- Trilete Hymenophyllaceae Comp.,Freycinetia comp.,Gardenia,Geniostoma,Glochidion,Gramineae,Gymnosporia,Hibiscus,Ipomea- cultivated,Leguminosae,Leucas comp. ,Lycopodium- reticulate,Macaranga,Meliaceae/Sapotaceae,Orchidaceae,Pandanus,Phytolaccaceae,Pinaceae,Planchonella,Polygonum,Potamogeton comp.,Premna comp.,Pteris,Stachytarpheta,Tournefortia comp.,Trema,Typha,Typha latifolia,Urticaceae/Moraceae
1883,134,Finemui Swamp,0,81.7,0,0,0,0,8.36,0,0,0,0,0,0,2.09,5.85,0,0,0,39.6,0,4.06,0,0,0,0,9.63,11.2,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,1.53,0,0,0,0,0,2.49
2056,144,Finemui Swamp,0,71.6,0,0,2.05,0,0,0,11.6,0,0,0,5.63,2.15,9.47,0,0,0,66.6,0,0,0,0,0,7.02,3.99,0,0,0,0,0,1.23,0,0,0,8.76,0,0,0,2.36,0,0,0,0,5.04,0,0,0,0
2298,154,Finemui Swamp,0,93.2,0,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,32.9,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,50.1,0,0,0,0,0,0
2613,164,Finemui Swamp,0,95.8,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34,0,0,0,18.7,0,5.12,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,0,0,0,0,0,9.07
2931,174,Finemui Swamp,0,92.5,0,0,0,0,15.9,0,6.19,0,0,0,7.07,0,11.9,0,0,0,5.62,5.71,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
3249,184,Finemui Swamp,0,90.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,75.9,0,0,0,0,0,0
3456,194,Finemui Swamp,0,91.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,45.2,0,0,17.4,0,0,5.66
3598,204,Finemui Swamp,0,88.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,2.35,0,9.47,0,0,0,0,0,0,0,0,0,0,0,7.44,6.87,0,12.2,0,0,0,0,0,4.14,60.4,0,0,0,0,0,16.8
3911,214,Finemui Swamp,0,86.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,34.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0
4227,224,Finemui Swamp,0,94,0,0,5.95,0,5.01,0,0,0,0,0,0,0,7.37,0,0,0,0,0,26.4,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,7.73,0,0,0
