Site,depth,Cal_yrs_BP,Microcharcoal
Avai'o'vuna Swamp,0,-47,938100
Avai'o'vuna Swamp,12,333,386000
Avai'o'vuna Swamp,24,718,236800
Avai'o'vuna Swamp,36,1102,298200
Avai'o'vuna Swamp,48,1481,412300
Avai'o'vuna Swamp,60,1860,315800
Avai'o'vuna Swamp,72,2249,359600
Avai'o'vuna Swamp,84,2633,386000
Avai'o'vuna Swamp,96,3074,0
Avai'o'vuna Swamp,120,3949,0
Avai'o'vuna Swamp,132,4381,0
Avai'o'vuna Swamp,144,4820,0
