"","Cal_yrs_BP","Site","DIST","LITTO","MANG","RAIN","WETL"
"103",1689,"Lotofoa Swamp",0,25,75,0,0
"104",5941,"Ngofe Marsh",11,14,28,46,0
"105",2213,"Ngofe Marsh",54,29,2,2,13
"106",1481,"Avaiovuna Swamp",11,22,16,7,45
"107",333,"Avaiovuna Swamp",20,36,18,0,26
"108",-47,"Avaiovuna Swamp",10,22,2,1,65
"109",1102,"Avaiovuna Swamp",12,35,23,0,29
"110",2633,"Avaiovuna Swamp",20,38,19,2,22
"111",718,"Avaiovuna Swamp",6,39,18,1,36
"112",696,"Finemui Swamp",29,26,8,0,37
"113",4381,"Avaiovuna Swamp",14,62,21,0,4
"114",1860,"Avaiovuna Swamp",17,39,31,3,9
"115",4820,"Avaiovuna Swamp",11,70,6,3,9
"116",3949,"Avaiovuna Swamp",12,35,9,8,36
"117",1363,"Finemui Swamp",0,10,85,0,5
"118",768,"Lotofoa Swamp",7,27,13,0,53
"119",3074,"Avaiovuna Swamp",15,41,2,0,41
"120",2931,"Finemui Swamp",0,12,82,6,0
"121",1712,"Finemui Swamp",14,14,69,0,4
"122",2056,"Finemui Swamp",1,15,76,5,2
"123",5167,"Finemui Swamp",9,32,38,11,10
