"","DIST","LITTO","MANG","RAIN","UNKN","WETL","Cal_yrs_BP","Site"
"1",0,0,43.9688715953307,0,56.0311284046693,0,3249,"Finemui Swamp"
"2",13.1538417660145,0,52.3073412811591,0,33.0500256688152,1.48879128401118,3456,"Finemui Swamp"
"3",35,30,0,0,35,0,349,"Ngofe Marsh"
"4",0,12.2177419354839,9.90783410138249,0,16.1693548387097,61.705069124424,1079,"Lotofoa Swamp"
"5",6.63585910408412,27.969472052248,9.28720687253309,0,37.0005317674903,19.1069302036445,43,"Finemui Swamp"
"6",0,10.5873626003102,20.7026771865938,5.65783262526131,53.6786027378785,9.37352484995617,5672,"Lotofoa Swamp"
"7",4.44760457019566,0,46.9769038395528,0,48.5754915902516,0,2613,"Finemui Swamp"
"8",0,0,45.9502382212811,0,54.0497617787189,0,3911,"Finemui Swamp"
"9",1.01010101010101,4.54545454545455,4.54545454545455,1.51515151515152,27.2727272727273,61.1111111111111,2729,"Ngofe Marsh"
"10",0,2.45403377110694,4.06003752345216,0,58.7467166979362,34.7392120075047,464,"Lotofoa Swamp"
"11",0,9.28270042194093,4.06018629090041,0,63.6573521216464,22.9997611655123,159,"Lotofoa Swamp"
"12",0,4.17899785692418,47.5558730482702,0,46.6221042963568,1.64302479844882,2298,"Finemui Swamp"
"13",0,36.3024339720352,36.7685137234593,0,17.5556706369757,9.37338166752978,5206,"Finemui Swamp"
"14",0,13.7729327306567,4.86572720021271,0,40.8933794203669,40.4679606487636,5058,"Lotofoa Swamp"
"15",0,3.72965476972484,17.5899569374498,3.78074593095395,66.9805123713598,7.91912999051164,6293,"Lotofoa Swamp"
"16",0,0,1.18940078289672,0,75.8506473953629,22.9599518217404,7214,"Lotofoa Swamp"
"17",11.1055115224264,7.48614101800522,40.5002977963073,0,40.9080496632611,0,3598,"Finemui Swamp"
"18",22.8070175438596,14.0350877192982,0,0,63.1578947368421,0,1105,"Ngofe Marsh"
"19",28.125,34.375,0,0,37.5,0,1670,"Ngofe Marsh"
"20",45.4545454545455,22.7272727272727,0,0,31.8181818181818,0,1604,"Ngofe Marsh"
"21",50,0,0,0,50,0,1174,"Ngofe Marsh"
"22",32.9192546583851,28.5714285714286,0,0,37.2670807453416,1.24223602484472,791,"Ngofe Marsh"
"23",43.8515081206496,0.928074245939675,14.6171693735499,2.08816705336427,36.6589327146172,1.85614849187935,3502,"Ngofe Marsh"
"24",40.625,0,1.5625,4.6875,37.5,15.625,4382,"Ngofe Marsh"
"25",44.2622950819672,6.55737704918033,0,1.63934426229508,31.1475409836066,16.3934426229508,2103,"Ngofe Marsh"
"26",40,0,0,0,60,0,1941,"Ngofe Marsh"
"27",0,7.90102284559319,35.0952410118209,8.57475347583757,46.0096772217799,2.41930544496846,6599,"Lotofoa Swamp"
"28",1.46790072510759,4.92837351883511,51.6123327241644,0,40.1520957377822,1.83929729411071,1883,"Finemui Swamp"
"29",0,7.62008436521976,33.7664988433801,0,54.7013199074704,3.91209688392979,4140,"Lotofoa Swamp"
"30",0,4.52780229479259,19.0379523389232,0,76.4342453662842,0,3837,"Lotofoa Swamp"
"31",41.3855577603313,8.56699163143819,11.4744198084721,0,30.7134846001208,7.85954619963765,3222,"Lotofoa Swamp"
"32",11.8530225207428,21.1378901619913,37.6333465033584,0,19.7550375345713,9.62070327933623,3531,"Lotofoa Swamp"
"33",3.31977678993663,3.83051168069611,50.6951669346448,3.83051168069611,38.3240329140263,0,3835,"Lotofoa Swamp"
"34",7.99558587479936,14.6468699839486,69.422150882825,7.93539325842697,0,0,1996,"Lotofoa Swamp"
"35",40.7407407407407,11.1111111111111,1.11111111111111,2.03703703703704,33.1481481481481,11.8518518518519,2499,"Ngofe Marsh"
"36",29.1578202406228,10.9341825902335,8.49256900212314,1.97452229299363,29.3630573248408,20.0778485491861,369,"Finemui Swamp"
"37",2.6641128330141,12.3628765453596,39.5263799407975,10.3256137907017,31.8561727320216,3.26484415810552,1383,"Lotofoa Swamp"
"38",0,3.24893227577791,11.4399023794997,5.69707138499085,67.7928615009152,11.8212324588164,6906,"Lotofoa Swamp"
"39",15.4583502092615,19.9743485891724,2.53813959767787,3.47644120426624,29.1548535169434,29.3978668826785,860,"Finemui Swamp"
"40",33.0357142857143,3.57142857142857,39.2857142857143,15.1785714285714,8.92857142857143,0,6986,"Ngofe Marsh"
"41",24.0740740740741,1.85185185185185,0,5.55555555555556,29.6296296296296,38.8888888888889,3176,"Ngofe Marsh"
"42",42.3076923076923,1.92307692307692,0,3.84615384615385,48.0769230769231,3.84615384615385,2336,"Ngofe Marsh"
"43",45.8333333333333,16.6666666666667,0,4.16666666666667,29.1666666666667,4.16666666666667,1800,"Ngofe Marsh"
"44",79.3650793650794,6.34920634920635,3.17460317460317,6.34920634920635,3.17460317460317,1.58730158730159,3624,"Ngofe Marsh"
"45",68.5714285714286,0.952380952380952,2.85714285714286,9.52380952380952,18.0952380952381,0,3829,"Ngofe Marsh"
"46",2.74743307234282,5.93089221248066,40.50822823386,6.9857939894041,43.0353040461344,0.792348445778049,4543,"Finemui Swamp"
"47",3.99388690779419,8.00815078960774,50.5960264900662,8.40550178298523,28.9964340295466,0,2301,"Lotofoa Swamp"
"48",11.5044247787611,3.53982300884956,39.8230088495575,39.8230088495575,5.30973451327434,0,5523,"Ngofe Marsh"
"49",21.8978102189781,2.18978102189781,2.18978102189781,20.4379562043796,33.5766423357664,19.7080291970803,3394,"Ngofe Marsh"
"50",13.375796178344,2.54777070063694,45.859872611465,33.1210191082803,5.09554140127389,0,5703,"Ngofe Marsh"
