Cal_yrs_BP,Depth_cm,Site,Acrostichum,Alphitonia,Amaranthaceae,Anacardiaceae,Apiaceae,Araceae,Arecaceae,Asteraceae,Bischofia,Burseraceae,Calophyllum,Casuarina,cf. Ailanthus,cf. Araliaceae,cf. Calamus,cf. Celtis,cf. Clerodendrum,cf. Clethra,cf. Cycas,cf. Desmodium,cf. Diospyros,cf. Entada,cf. Geraniaceae,cf. Maesa,cf. Maniltoa,cf. Maytenus,cf. Neonauclea,cf. Onagraceae,cf. Rosaceae,cf. Senna,cf. Sterculia,Cocos,Combretaceae/Melastromataceae,Cyperaceae,Dracaena,Dysoxylum,Elaeocarpus,Elattostachys,Euphorbiaceae,Excoecaria,Fabaceae,Ficus,Freycinetia,Glochidion,Grewia,Hedycarya,Homalanthus,Homalium,Ixora,Loranthaceae,Macaranga,Malpighiaceae,Malvaceae,Melastromataceae/Sapotaceae,Microsorum,Monolete echinate,Monolete spores,Moraceae/Urticaceae,Oleaceae,Pandanus,Phyllanthaceae,Poaceae,Polygonaceae,Polypodium,Rhamnaceae,Rhizophoraceae,Rhus,Rubiaceae,Sapotaceae,Stenochlaena,Syzygium,Trema,Trilete spores,Vitaceae
6098,511,Ngofe Marsh,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1,18,0,0,0,7,0,0,0,0,0,2,0,0,1,4,0,0,0,3,0,3,0,0,1,0,0,0,0,0,68,7,0,1,0,21,6,1,0
6192,520,Ngofe Marsh,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,30,0,0,0,4,0,0,0,0,0,1,0,0,1,5,0,0,0,3,0,10,0,0,0,0,0,1,0,5,45,16,1,0,1,7,25,0,0
6285,529,Ngofe Marsh,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,3,0,0,0,0,1,0,0,0,46,17,0,0,0,11,4,0,0
6390,539,Ngofe Marsh,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,36,0,0,0,3,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,99,9,0,2,0,34,27,0,0
6422,542,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,40,12,0,3,0,2,4,0,0
6453,545,Ngofe Marsh,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,9,2,0,0,0,0,0,0,0,43,6,0,1,1,16,18,0,0
6588,558,Ngofe Marsh,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,50,2,0,0,0,4,5,0,0
6724,571,Ngofe Marsh,0,0,0,0,0,0,9,0,0,6,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,26,0,0,0,6,0,0,0,0,0,0,6,1,0,5,0,0,2,8,0,27,0,0,1,1,1,0,0,1,190,5,1,1,0,31,34,2,0
6903,588,Ngofe Marsh,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,1,0,2,0,3,6,0,0
6986,596,Ngofe Marsh,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,44,0,0,1,0,11,37,1,0
7078,605,Ngofe Marsh,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,5,0,0,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,3,0,48,0,0,0,0,1,0,0,0,64,3,0,4,0,9,14,0,0
7173,614,Ngofe Marsh,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,13,2,0,2,10,0,0,0,12,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,21,0,0,0,2,13,2,0,1,158,2,0,8,0,25,31,1,0
7340,630,Ngofe Marsh,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,10,0,0,3,0,0,0,0,0,0,2,0,0,0,22,2,114,0,0,0,0,1,10,0,0,35,17,0,9,0,10,2,0,0
7435,639,Ngofe Marsh,0,0,0,0,0,0,8,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,1,2,0,0,0,8,0,0,0,1,0,1,7,1,0,3,0,0,4,7,0,13,0,0,0,0,5,7,0,0,98,12,0,2,0,25,25,3,0
