Cal_yrs_BP,Depth_cm,Site,Acrostichum,Alphitonia,Amaranthaceae,Anacardiaceae,Apiaceae,Araceae,Arecaceae,Asteraceae,Bischofia,Burseraceae,Calophyllum,Casuarina,cf. Ailanthus,cf. Araliaceae,cf. Calamus,cf. Celtis,cf. Clerodendrum,cf. Clethra,cf. Cycas,cf. Desmodium,cf. Diospyros,cf. Entada,cf. Geraniaceae,cf. Maesa,cf. Maniltoa,cf. Maytenus,cf. Neonauclea,cf. Onagraceae,cf. Rosaceae,cf. Senna,cf. Sterculia,Cocos,Combretaceae/Melastromataceae,Cyperaceae,Dracaena,Dysoxylum,Elaeocarpus,Elattostachys,Euphorbiaceae,Excoecaria,Fabaceae,Ficus,Freycinetia,Glochidion,Grewia,Hedycarya,Homalanthus,Homalium,Ixora,Loranthaceae,Macaranga,Malpighiaceae,Malvaceae,Melastromataceae/Sapotaceae,Microsorum,Monolete echinate,Monolete spores,Moraceae/Urticaceae,Oleaceae,Pandanus,Phyllanthaceae,Poaceae,Polygonaceae,Polypodium,Rhamnaceae,Rhizophoraceae,Rhus,Rubiaceae,Sapotaceae,Stenochlaena,Syzygium,Trema,Trilete spores,Vitaceae
3720,330,Ngofe Marsh,0,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5,75,0,7,17,0,0,0,4,0,0,0,0,0,0,5,0,0,36,0,0,2,0,0,0,0,0,1,0,2,3,0,0,34,3,0,1,4,12,259,0,1
3829,338,Ngofe Marsh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,1,8,0,7,0,0,0,0,0,0,0,1,3,4,0,1,0,2,55,0,0
3939,346,Ngofe Marsh,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,8,1,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,4,0,0,9,2,0,0,0,2,0,0,0,2,0,0,0,2,3,32,0,0
4061,355,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1,5,0,15,0,0,0,0,0,0,0,0,9,4,0,2,0,4,6,0,0
4277,371,Ngofe Marsh,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,1,43,0,0,35,1,0,0,0,0,0,0,0,11,6,1,10,0,60,0,0,2,8,0,72,16,0,0,0,24,1,0,0,9,12,0,6,39,0,42,3,0
4382,379,Ngofe Marsh,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,4,0,13,0,0,0,0,5,0,0,0,1,2,0,1,10,0,9,0,0
4473,386,Ngofe Marsh,0,0,0,0,0,0,5,0,0,1,2,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,30,0,2,34,0,0,0,3,0,0,4,0,0,5,0,1,0,37,0,0,2,20,0,100,6,0,1,0,11,0,0,0,1,10,0,4,21,6,25,1,0
4604,395,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,23,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,2,3,0,12,0,0,0,0,0,0,0,0,11,8,0,5,2,3,5,0,0
4652,398,Ngofe Marsh,0,1,0,0,0,1,14,0,0,0,1,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,3,0,1,9,0,1,33,0,1,0,10,0,0,0,0,0,4,0,4,0,3,0,0,1,22,0,17,0,1,2,1,3,3,0,1,99,9,0,5,2,20,36,1,0
4850,410,Ngofe Marsh,0,0,1,0,0,0,2,0,0,1,6,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,18,0,1,86,1,0,0,17,0,0,1,0,1,5,0,15,1,49,0,0,0,27,0,54,20,0,5,2,4,0,0,0,37,45,0,10,0,9,82,1,0
