depth	min	max	median	mean
252	2346	3005	2662	2663
253	2357	3016	2674	2677
254	2368	3034	2687	2690
255	2377	3052	2701	2703
256	2392	3061	2713	2717
257	2410	3073	2728	2730
258	2421	3084	2742	2744
259	2432	3099	2755	2757
260	2444	3111	2769	2771
261	2458	3123	2781	2785
262	2470	3136	2795	2798
263	2487	3153	2810	2812
264	2497	3172	2824	2826
265	2509	3189	2837	2840
266	2524	3198	2850	2853
267	2538	3211	2863	2867
268	2551	3225	2877	2880
269	2562	3242	2889	2893
270	2575	3261	2902	2907
271	2589	3273	2916	2920
272	2599	3286	2929	2933
273	2612	3299	2943	2947
274	2623	3314	2958	2960
275	2635	3326	2970	2973
276	2649	3340	2984	2987
277	2665	3354	2998	3001
278	2682	3371	3012	3014
279	2692	3384	3025	3028
280	2704	3396	3038	3041
281	2717	3409	3052	3055
282	2729	3420	3065	3069
283	2743	3434	3080	3082
284	2754	3456	3095	3096
285	2765	3470	3109	3110
286	2779	3481	3122	3123
287	2792	3496	3136	3137
288	2803	3511	3149	3150
289	2814	3522	3164	3164
290	2824	3536	3177	3177
291	2843	3548	3191	3191
292	2858	3559	3205	3205
293	2873	3572	3220	3219
294	2885	3586	3234	3233
295	2897	3601	3250	3247
296	2914	3610	3263	3261
297	2929	3620	3276	3274
298	2945	3635	3289	3287
299	2958	3648	3302	3301
300	2968	3666	3316	3314
301	2984	3673	3328	3328
302	2999	3684	3343	3341
303	3011	3697	3357	3354
304	3025	3709	3370	3368
305	3034	3728	3383	3381
306	3051	3738	3397	3395
307	3068	3747	3411	3408
308	3082	3760	3425	3422
309	3095	3777	3439	3436
310	3106	3794	3453	3449
311	3123	3800	3467	3463
312	3139	3810	3481	3477
313	3155	3820	3495	3491
314	3168	3833	3509	3505
315	3179	3847	3523	3519
316	3194	3858	3536	3532
317	3210	3868	3549	3546
318	3224	3878	3563	3559
319	3237	3887	3577	3573
320	3247	3904	3591	3586
321	3266	3913	3604	3600
322	3278	3925	3618	3614
323	3294	3935	3632	3627
324	3306	3946	3645	3641
325	3316	3960	3659	3655
