labID,age,error,depth,cc
surface,-67,5,0,0
Ngo100,1204,37,97,3
Ngo201,1843,37,188,3
Ngo334,3980,37,377,3
Ngo387,3239,36,389,3
Ngo448,4776,36,441,3
Ngo660,6898,37,664,3
