depth	min	max	median	mean
234	4518	6352	5638	5590
235	4550	6389	5668	5621
236	4583	6403	5700	5651
237	4602	6430	5732	5682
238	4625	6461	5764	5713
239	4642	6490	5797	5743
240	4688	6525	5828	5774
241	4721	6544	5859	5804
242	4740	6572	5891	5835
243	4773	6592	5923	5866
244	4799	6618	5956	5896
245	4818	6650	5986	5927
246	4844	6672	6019	5957
247	4876	6692	6047	5987
248	4912	6716	6080	6018
249	4937	6740	6110	6048
250	4954	6777	6140	6078
251	4996	6793	6173	6109
252	5023	6814	6202	6140
253	5067	6836	6232	6171
254	5095	6863	6265	6203
255	5129	6901	6296	6234
256	5166	6918	6327	6264
257	5194	6937	6358	6295
258	5226	6961	6390	6326
259	5265	6989	6422	6357
260	5303	7017	6455	6387
261	5327	7035	6485	6418
262	5351	7054	6515	6449
263	5393	7077	6547	6479
264	5425	7102	6580	6510
265	5460	7137	6611	6540
266	5489	7154	6640	6571
267	5526	7170	6674	6602
268	5561	7190	6708	6632
269	5574	7213	6744	6663
270	5597	7243	6776	6694
271	5627	7259	6807	6725
272	5674	7275	6837	6755
273	5701	7297	6869	6786
274	5729	7323	6901	6817
275	5767	7352	6931	6848
276	5797	7365	6964	6878
277	5831	7379	6996	6908
278	5870	7400	7029	6938
279	5889	7421	7061	6968
280	5917	7449	7091	6998
281	5942	7461	7124	7028
282	5975	7475	7156	7058
283	6003	7494	7188	7089
284	6033	7517	7220	7119
285	6067	7542	7251	7149
286	6107	7553	7282	7180
287	6131	7570	7313	7211
288	6160	7589	7347	7242
289	6183	7609	7383	7273
290	6215	7637	7420	7304
